Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,Title,Published Date,Sentiment Score,Sentiment_negative,Sentiment_neutral,Sentiment_positive
2025-03-25,EQ,"1,605.00","1,636.15","1,605.00","1,592.75","1,619.25","1,628.45","1,626.09","2,006.45","1,358.35","98,90,140","16,08,22,64,118.35","2,66,112","Infosys, Wipro, TCS among tech giants blacklisted in US recruiter's leaked email: 'Not the right fit'",2025-03-25,0.7016247510910034,True,False,False
2025-03-25,EQ,"1,605.00","1,636.15","1,605.00","1,592.75","1,619.25","1,628.45","1,626.09","2,006.45","1,358.35","98,90,140","16,08,22,64,118.35","2,66,112",Jefferies says 'buy' Infosys on attractive risk-reward but cuts share price target by 15%,2025-03-25,0.5172491669654846,False,True,False
2025-03-25,EQ,"1,605.00","1,636.15","1,605.00","1,592.75","1,619.25","1,628.45","1,626.09","2,006.45","1,358.35","98,90,140","16,08,22,64,118.35","2,66,112",Infosys shares rise nearly 3% despite Jefferies' 15% target price cut,2025-03-25,0.9187806844711304,False,False,True
2025-03-25,EQ,"1,605.00","1,636.15","1,605.00","1,592.75","1,619.25","1,628.45","1,626.09","2,006.45","1,358.35","98,90,140","16,08,22,64,118.35","2,66,112","TCS, HCLTech, Infosys, Wipro: Why IT stocks are rising today",2025-03-25,0.7137546539306641,False,True,False
2025-03-25,EQ,"1,605.00","1,636.15","1,605.00","1,592.75","1,619.25","1,628.45","1,626.09","2,006.45","1,358.35","98,90,140","16,08,22,64,118.35","2,66,112","Stock Recommendations Today: Suzlon Energy, LIC, TCS, Infosys, Bandhan Bank On Brokerages Radar",2025-03-25,0.951364278793335,False,True,False
2025-03-25,EQ,"1,605.00","1,636.15","1,605.00","1,592.75","1,619.25","1,628.45","1,626.09","2,006.45","1,358.35","98,90,140","16,08,22,64,118.35","2,66,112","TCS, HCLTech, Infosys, Wipro: Why IT stocks are rising today",2025-03-25,0.7137546539306641,False,True,False
2025-03-25,EQ,"1,605.00","1,636.15","1,605.00","1,592.75","1,619.25","1,628.45","1,626.09","2,006.45","1,358.35","98,90,140","16,08,22,64,118.35","2,66,112","US recruiter's list of firms whose staff he won't hire leaked; TCS, Infosys among those named | 'The sheer pretentiousness kind of pissed me' | Inshorts",2025-03-25,0.7608132362365723,False,True,False
2025-03-25,EQ,"1,605.00","1,636.15","1,605.00","1,592.75","1,619.25","1,628.45","1,626.09","2,006.45","1,358.35","98,90,140","16,08,22,64,118.35","2,66,112","Jefferies cuts Infosys stock price target to INR1,835, maintains buy",2025-03-25,0.6258808374404907,False,True,False
2025-03-25,EQ,"1,605.00","1,636.15","1,605.00","1,592.75","1,619.25","1,628.45","1,626.09","2,006.45","1,358.35","98,90,140","16,08,22,64,118.35","2,66,112","TCS, Infosys hop onto Adobe’s new platform to sell AI services to clients | Mint",2025-03-25,0.496144562959671,False,True,False
2025-03-25,EQ,"1,605.00","1,636.15","1,605.00","1,592.75","1,619.25","1,628.45","1,626.09","2,006.45","1,358.35","98,90,140","16,08,22,64,118.35","2,66,112","Are You Working At Tata, HP, Mahindra, Dell, Infosys, etc.? Then ‘You Are Not Right Fit’ For US Tech Company",2025-03-25,0.9111442565917968,False,True,False
